Iteración,x,f(x)
1,0,0.0
2,1,0.6854516566117282
3,2,3.623107793906629
4,3,1.9598356553963283
5,4,-33.23984582674634
6,5,-127.49311067713298
7,6,-109.67496431296621
8,7,749.0904203080738
9,8,3240.065852088271
10,9,3844.661585987705
11,10,-14366.824510963215
